"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","API Testing","1","0","Get user details","0"
"0","","0","","4","0","","0"
"0","","0","API Testing","1","0","Create new post","0"
"0","","0","API Testing","1","0","Delete post","0"
